Freq.	V(n002)
1.07584572876051e-01	(-3.49063264332015e+00dB,-1.10806094469233e+02°)
1.07646521362983e-01	(-3.48626356610171e+00dB,-1.10817048923642e+02°)
1.07708505520597e-01	(-3.48189512387565e+00dB,-1.10828008093108e+02°)
1.07770525369432e-01	(-3.47752731718859e+00dB,-1.10838971978057e+02°)
1.07832580930039e-01	(-3.47316014658744e+00dB,-1.10849940578914e+02°)
1.07894672222982e-01	(-3.46879361261936e+00dB,-1.10860913896098e+02°)
1.07956799268836e-01	(-3.46442771583184e+00dB,-1.10871891930028e+02°)
1.08018962088188e-01	(-3.46006245677261e+00dB,-1.10882874681121e+02°)
1.08081160701637e-01	(-3.45569783598971e+00dB,-1.10893862149789e+02°)
1.08143395129793e-01	(-3.45133385403146e+00dB,-1.10904854336443e+02°)
1.08205665393279e-01	(-3.44697051144647e+00dB,-1.10915851241491e+02°)
1.08267971512729e-01	(-3.44260780878360e+00dB,-1.10926852865338e+02°)
1.08330313508790e-01	(-3.43824574659203e+00dB,-1.10937859208388e+02°)
1.08392691402120e-01	(-3.43388432542120e+00dB,-1.10948870271040e+02°)
1.08455105213388e-01	(-3.42952354582085e+00dB,-1.10959886053692e+02°)
1.08517554963277e-01	(-3.42516340834097e+00dB,-1.10970906556740e+02°)
1.08580040672481e-01	(-3.42080391353187e+00dB,-1.10981931780575e+02°)
1.08642562361706e-01	(-3.41644506194410e+00dB,-1.10992961725586e+02°)
1.08705120051669e-01	(-3.41208685412855e+00dB,-1.11003996392163e+02°)
1.08767713763099e-01	(-3.40772929063633e+00dB,-1.11015035780687e+02°)
1.08830343516740e-01	(-3.40337237201886e+00dB,-1.11026079891543e+02°)
1.08893009333343e-01	(-3.39901609882784e+00dB,-1.11037128725108e+02°)
1.08955711233674e-01	(-3.39466047161525e+00dB,-1.11048182281759e+02°)
1.09018449238512e-01	(-3.39030549093333e+00dB,-1.11059240561871e+02°)
1.09081223368645e-01	(-3.38595115733462e+00dB,-1.11070303565814e+02°)
1.09144033644875e-01	(-3.38159747137194e+00dB,-1.11081371293957e+02°)
1.09206880088015e-01	(-3.37724443359839e+00dB,-1.11092443746666e+02°)
1.09269762718890e-01	(-3.37289204456732e+00dB,-1.11103520924304e+02°)
1.09332681558338e-01	(-3.36854030483240e+00dB,-1.11114602827232e+02°)
1.09395636627209e-01	(-3.36418921494755e+00dB,-1.11125689455808e+02°)
1.09458627946362e-01	(-3.35983877546698e+00dB,-1.11136780810386e+02°)
1.09521655536673e-01	(-3.35548898694517e+00dB,-1.11147876891320e+02°)
1.09584719419026e-01	(-3.35113984993688e+00dB,-1.11158977698960e+02°)
1.09647819614318e-01	(-3.34679136499715e+00dB,-1.11170083233652e+02°)
1.09710956143459e-01	(-3.34244353268130e+00dB,-1.11181193495741e+02°)
1.09774129027371e-01	(-3.33809635354492e+00dB,-1.11192308485569e+02°)
1.09837338286986e-01	(-3.33374982814387e+00dB,-1.11203428203475e+02°)
1.09900583943251e-01	(-3.32940395703431e+00dB,-1.11214552649796e+02°)
1.09963866017124e-01	(-3.32505874077265e+00dB,-1.11225681824865e+02°)
1.10027184529573e-01	(-3.32071417991558e+00dB,-1.11236815729012e+02°)
1.10090539501581e-01	(-3.31637027502008e+00dB,-1.11247954362568e+02°)
1.10153930954141e-01	(-3.31202702664340e+00dB,-1.11259097725856e+02°)
1.10217358908259e-01	(-3.30768443534306e+00dB,-1.11270245819200e+02°)
1.10280823384954e-01	(-3.30334250167684e+00dB,-1.11281398642921e+02°)
1.10344324405256e-01	(-3.29900122620282e+00dB,-1.11292556197334e+02°)
1.10407861990207e-01	(-3.29466060947935e+00dB,-1.11303718482756e+02°)
1.10471436160860e-01	(-3.29032065206503e+00dB,-1.11314885499497e+02°)
1.10535046938284e-01	(-3.28598135451877e+00dB,-1.11326057247868e+02°)
1.10598694343555e-01	(-3.28164271739971e+00dB,-1.11337233728174e+02°)
1.10662378397766e-01	(-3.27730474126731e+00dB,-1.11348414940719e+02°)
1.10726099122019e-01	(-3.27296742668127e+00dB,-1.11359600885805e+02°)
1.10789856537428e-01	(-3.26863077420157e+00dB,-1.11370791563728e+02°)
1.10853650665122e-01	(-3.26429478438846e+00dB,-1.11381986974786e+02°)
1.10917481526239e-01	(-3.25995945780246e+00dB,-1.11393187119270e+02°)
1.10981349141932e-01	(-3.25562479500438e+00dB,-1.11404391997471e+02°)
1.11045253533363e-01	(-3.25129079655528e+00dB,-1.11415601609674e+02°)
1.11109194721709e-01	(-3.24695746301650e+00dB,-1.11426815956166e+02°)
1.11173172728158e-01	(-3.24262479494964e+00dB,-1.11438035037227e+02°)
1.11237187573910e-01	(-3.23829279291658e+00dB,-1.11449258853136e+02°)
1.11301239280178e-01	(-3.23396145747948e+00dB,-1.11460487404169e+02°)
1.11365327868187e-01	(-3.22963078920075e+00dB,-1.11471720690600e+02°)
1.11429453359172e-01	(-3.22530078864308e+00dB,-1.11482958712698e+02°)
1.11493615774384e-01	(-3.22097145636942e+00dB,-1.11494201470731e+02°)
1.11557815135084e-01	(-3.21664279294301e+00dB,-1.11505448964965e+02°)
1.11622051462546e-01	(-3.21231479892733e+00dB,-1.11516701195661e+02°)
1.11686324778055e-01	(-3.20798747488614e+00dB,-1.11527958163078e+02°)
1.11750635102910e-01	(-3.20366082138349e+00dB,-1.11539219867473e+02°)
1.11814982458421e-01	(-3.19933483898366e+00dB,-1.11550486309100e+02°)
1.11879366865911e-01	(-3.19500952825122e+00dB,-1.11561757488208e+02°)
1.11943788346714e-01	(-3.19068488975100e+00dB,-1.11573033405046e+02°)
1.12008246922179e-01	(-3.18636092404810e+00dB,-1.11584314059860e+02°)
1.12072742613664e-01	(-3.18203763170789e+00dB,-1.11595599452891e+02°)
1.12137275442541e-01	(-3.17771501329599e+00dB,-1.11606889584378e+02°)
1.12201845430195e-01	(-3.17339306937831e+00dB,-1.11618184454559e+02°)
1.12266452598023e-01	(-3.16907180052101e+00dB,-1.11629484063667e+02°)
1.12331096967432e-01	(-3.16475120729050e+00dB,-1.11640788411933e+02°)
1.12395778559843e-01	(-3.16043129025350e+00dB,-1.11652097499585e+02°)
1.12460497396692e-01	(-3.15611204997695e+00dB,-1.11663411326848e+02°)
1.12525253499422e-01	(-3.15179348702807e+00dB,-1.11674729893944e+02°)
1.12590046889493e-01	(-3.14747560197436e+00dB,-1.11686053201094e+02°)
1.12654877588375e-01	(-3.14315839538355e+00dB,-1.11697381248513e+02°)
1.12719745617550e-01	(-3.13884186782366e+00dB,-1.11708714036415e+02°)
1.12784650998514e-01	(-3.13452601986298e+00dB,-1.11720051565011e+02°)
1.12849593752775e-01	(-3.13021085207003e+00dB,-1.11731393834510e+02°)
1.12914573901853e-01	(-3.12589636501361e+00dB,-1.11742740845115e+02°)
1.12979591467279e-01	(-3.12158255926280e+00dB,-1.11754092597030e+02°)
1.13044646470599e-01	(-3.11726943538690e+00dB,-1.11765449090454e+02°)
1.13109738933370e-01	(-3.11295699395552e+00dB,-1.11776810325583e+02°)
1.13174868877161e-01	(-3.10864523553849e+00dB,-1.11788176302610e+02°)
1.13240036323555e-01	(-3.10433416070592e+00dB,-1.11799547021727e+02°)
1.13305241294145e-01	(-3.10002377002819e+00dB,-1.11810922483121e+02°)
1.13370483810540e-01	(-3.09571406407592e+00dB,-1.11822302686976e+02°)
1.13435763894358e-01	(-3.09140504342000e+00dB,-1.11833687633475e+02°)
1.13501081567231e-01	(-3.08709670863158e+00dB,-1.11845077322797e+02°)
1.13566436850802e-01	(-3.08278906028205e+00dB,-1.11856471755117e+02°)
1.13631829766730e-01	(-3.07848209894310e+00dB,-1.11867870930609e+02°)
1.13697260336683e-01	(-3.07417582518664e+00dB,-1.11879274849443e+02°)
1.13762728582342e-01	(-3.06987023958486e+00dB,-1.11890683511786e+02°)
1.13828234525402e-01	(-3.06556534271019e+00dB,-1.11902096917802e+02°)
1.13893778187570e-01	(-3.06126113513535e+00dB,-1.11913515067654e+02°)
1.13959359590564e-01	(-3.05695761743327e+00dB,-1.11924937961499e+02°)
1.14024978756116e-01	(-3.05265479017717e+00dB,-1.11936365599493e+02°)
1.14090635705970e-01	(-3.04835265394052e+00dB,-1.11947797981788e+02°)
1.14156330461884e-01	(-3.04405120929706e+00dB,-1.11959235108534e+02°)
1.14222063045625e-01	(-3.03975045682075e+00dB,-1.11970676979878e+02°)
1.14287833478976e-01	(-3.03545039708583e+00dB,-1.11982123595963e+02°)
1.14353641783731e-01	(-3.03115103066680e+00dB,-1.11993574956930e+02°)
1.14419487981698e-01	(-3.02685235813840e+00dB,-1.12005031062917e+02°)
1.14485372094694e-01	(-3.02255438007564e+00dB,-1.12016491914058e+02°)
1.14551294144552e-01	(-3.01825709705376e+00dB,-1.12027957510485e+02°)
1.14617254153118e-01	(-3.01396050964828e+00dB,-1.12039427852328e+02°)
1.14683252142247e-01	(-3.00966461843496e+00dB,-1.12050902939711e+02°)
1.14749288133809e-01	(-3.00536942398982e+00dB,-1.12062382772758e+02°)
1.14815362149687e-01	(-3.00107492688912e+00dB,-1.12073867351588e+02°)
1.14881474211776e-01	(-2.99678112770939e+00dB,-1.12085356676319e+02°)
1.14947624341982e-01	(-2.99248802702741e+00dB,-1.12096850747063e+02°)
1.15013812562227e-01	(-2.98819562542018e+00dB,-1.12108349563933e+02°)
1.15080038894442e-01	(-2.98390392346499e+00dB,-1.12119853127035e+02°)
1.15146303360574e-01	(-2.97961292173938e+00dB,-1.12131361436474e+02°)
1.15212605982580e-01	(-2.97532262082111e+00dB,-1.12142874492353e+02°)
1.15278946782430e-01	(-2.97103302128821e+00dB,-1.12154392294770e+02°)
1.15345325782108e-01	(-2.96674412371897e+00dB,-1.12165914843821e+02°)
1.15411743003610e-01	(-2.96245592869191e+00dB,-1.12177442139597e+02°)
1.15478198468945e-01	(-2.95816843678582e+00dB,-1.12188974182190e+02°)
1.15544692200133e-01	(-2.95388164857970e+00dB,-1.12200510971686e+02°)
1.15611224219209e-01	(-2.94959556465285e+00dB,-1.12212052508168e+02°)
1.15677794548219e-01	(-2.94531018558479e+00dB,-1.12223598791717e+02°)
1.15744403209223e-01	(-2.94102551195528e+00dB,-1.12235149822410e+02°)
1.15811050224292e-01	(-2.93674154434435e+00dB,-1.12246705600322e+02°)
1.15877735615511e-01	(-2.93245828333227e+00dB,-1.12258266125524e+02°)
1.15944459404979e-01	(-2.92817572949953e+00dB,-1.12269831398084e+02°)
1.16011221614804e-01	(-2.92389388342691e+00dB,-1.12281401418068e+02°)
1.16078022267110e-01	(-2.91961274569541e+00dB,-1.12292976185538e+02°)
1.16144861384033e-01	(-2.91533231688628e+00dB,-1.12304555700554e+02°)
1.16211738987721e-01	(-2.91105259758102e+00dB,-1.12316139963170e+02°)
1.16278655100334e-01	(-2.90677358836137e+00dB,-1.12327728973440e+02°)
1.16345609744048e-01	(-2.90249528980931e+00dB,-1.12339322731414e+02°)
1.16412602941048e-01	(-2.89821770250708e+00dB,-1.12350921237139e+02°)
1.16479634713534e-01	(-2.89394082703714e+00dB,-1.12362524490658e+02°)
1.16546705083719e-01	(-2.88966466398222e+00dB,-1.12374132492013e+02°)
1.16613814073826e-01	(-2.88538921392527e+00dB,-1.12385745241240e+02°)
1.16680961706095e-01	(-2.88111447744951e+00dB,-1.12397362738374e+02°)
1.16748148002776e-01	(-2.87684045513836e+00dB,-1.12408984983446e+02°)
1.16815372986131e-01	(-2.87256714757554e+00dB,-1.12420611976485e+02°)
1.16882636678438e-01	(-2.86829455534495e+00dB,-1.12432243717516e+02°)
1.16949939101986e-01	(-2.86402267903078e+00dB,-1.12443880206560e+02°)
1.17017280279076e-01	(-2.85975151921743e+00dB,-1.12455521443636e+02°)
1.17084660232023e-01	(-2.85548107648956e+00dB,-1.12467167428761e+02°)
1.17152078983155e-01	(-2.85121135143206e+00dB,-1.12478818161946e+02°)
1.17219536554812e-01	(-2.84694234463006e+00dB,-1.12490473643201e+02°)
1.17287032969347e-01	(-2.84267405666892e+00dB,-1.12502133872533e+02°)
1.17354568249128e-01	(-2.83840648813426e+00dB,-1.12513798849945e+02°)
1.17422142416532e-01	(-2.83413963961193e+00dB,-1.12525468575436e+02°)
1.17489755493952e-01	(-2.82987351168802e+00dB,-1.12537143049004e+02°)
1.17557407503792e-01	(-2.82560810494884e+00dB,-1.12548822270642e+02°)
1.17625098468471e-01	(-2.82134341998096e+00dB,-1.12560506240342e+02°)
1.17692828410419e-01	(-2.81707945737119e+00dB,-1.12572194958089e+02°)
1.17760597352079e-01	(-2.81281621770654e+00dB,-1.12583888423869e+02°)
1.17828405315909e-01	(-2.80855370157430e+00dB,-1.12595586637663e+02°)
1.17896252324377e-01	(-2.80429190956197e+00dB,-1.12607289599449e+02°)
1.17964138399966e-01	(-2.80003084225729e+00dB,-1.12618997309201e+02°)
1.18032063565172e-01	(-2.79577050024825e+00dB,-1.12630709766891e+02°)
1.18100027842501e-01	(-2.79151088412305e+00dB,-1.12642426972487e+02°)
1.18168031254477e-01	(-2.78725199447013e+00dB,-1.12654148925955e+02°)
1.18236073823632e-01	(-2.78299383187819e+00dB,-1.12665875627256e+02°)
1.18304155572515e-01	(-2.77873639693612e+00dB,-1.12677607076350e+02°)
1.18372276523685e-01	(-2.77447969023309e+00dB,-1.12689343273191e+02°)
1.18440436699715e-01	(-2.77022371235846e+00dB,-1.12701084217733e+02°)
1.18508636123192e-01	(-2.76596846390186e+00dB,-1.12712829909925e+02°)
1.18576874816715e-01	(-2.76171394545310e+00dB,-1.12724580349712e+02°)
1.18645152802895e-01	(-2.75746015760229e+00dB,-1.12736335537037e+02°)
1.18713470104358e-01	(-2.75320710093972e+00dB,-1.12748095471841e+02°)
1.18781826743743e-01	(-2.74895477605593e+00dB,-1.12759860154059e+02°)
1.18850222743700e-01	(-2.74470318354167e+00dB,-1.12771629583624e+02°)
1.18918658126894e-01	(-2.74045232398796e+00dB,-1.12783403760466e+02°)
1.18987132916003e-01	(-2.73620219798600e+00dB,-1.12795182684513e+02°)
1.19055647133715e-01	(-2.73195280612726e+00dB,-1.12806966355686e+02°)
1.19124200802736e-01	(-2.72770414900343e+00dB,-1.12818754773908e+02°)
1.19192793945781e-01	(-2.72345622720640e+00dB,-1.12830547939094e+02°)
1.19261426585581e-01	(-2.71920904132831e+00dB,-1.12842345851158e+02°)
1.19330098744877e-01	(-2.71496259196154e+00dB,-1.12854148510010e+02°)
1.19398810446426e-01	(-2.71071687969867e+00dB,-1.12865955915559e+02°)
1.19467561712996e-01	(-2.70647190513252e+00dB,-1.12877768067707e+02°)
1.19536352567370e-01	(-2.70222766885613e+00dB,-1.12889584966356e+02°)
1.19605183032343e-01	(-2.69798417146279e+00dB,-1.12901406611403e+02°)
1.19674053130723e-01	(-2.69374141354597e+00dB,-1.12913233002741e+02°)
1.19742962885331e-01	(-2.68949939569941e+00dB,-1.12925064140262e+02°)
1.19811912319002e-01	(-2.68525811851704e+00dB,-1.12936900023854e+02°)
1.19880901454583e-01	(-2.68101758259303e+00dB,-1.12948740653400e+02°)
1.19949930314936e-01	(-2.67677778852178e+00dB,-1.12960586028782e+02°)
1.20018998922935e-01	(-2.67253873689789e+00dB,-1.12972436149877e+02°)
1.20088107301466e-01	(-2.66830042831621e+00dB,-1.12984291016560e+02°)
1.20157255473429e-01	(-2.66406286337179e+00dB,-1.12996150628702e+02°)
1.20226443461740e-01	(-2.65982604265991e+00dB,-1.13008014986171e+02°)
1.20295671289323e-01	(-2.65558996677608e+00dB,-1.13019884088831e+02°)
1.20364938979120e-01	(-2.65135463631601e+00dB,-1.13031757936544e+02°)
1.20434246554083e-01	(-2.64712005187566e+00dB,-1.13043636529167e+02°)
1.20503594037178e-01	(-2.64288621405118e+00dB,-1.13055519866554e+02°)
1.20572981451386e-01	(-2.63865312343895e+00dB,-1.13067407948558e+02°)
1.20642408819699e-01	(-2.63442078063558e+00dB,-1.13079300775027e+02°)
1.20711876165122e-01	(-2.63018918623789e+00dB,-1.13091198345804e+02°)
1.20781383510676e-01	(-2.62595834084291e+00dB,-1.13103100660730e+02°)
1.20850930879393e-01	(-2.62172824504791e+00dB,-1.13115007719645e+02°)
1.20920518294319e-01	(-2.61749889945034e+00dB,-1.13126919522383e+02°)
1.20990145778513e-01	(-2.61327030464792e+00dB,-1.13138836068774e+02°)
1.21059813355047e-01	(-2.60904246123853e+00dB,-1.13150757358647e+02°)
1.21129521047006e-01	(-2.60481536982030e+00dB,-1.13162683391826e+02°)
1.21199268877491e-01	(-2.60058903099158e+00dB,-1.13174614168133e+02°)
1.21269056869612e-01	(-2.59636344535091e+00dB,-1.13186549687385e+02°)
1.21338885046496e-01	(-2.59213861349706e+00dB,-1.13198489949397e+02°)
1.21408753431282e-01	(-2.58791453602902e+00dB,-1.13210434953980e+02°)
1.21478662047121e-01	(-2.58369121354596e+00dB,-1.13222384700942e+02°)
1.21548610917179e-01	(-2.57946864664732e+00dB,-1.13234339190087e+02°)
1.21618600064635e-01	(-2.57524683593271e+00dB,-1.13246298421216e+02°)
1.21688629512682e-01	(-2.57102578200195e+00dB,-1.13258262394126e+02°)
1.21758699284524e-01	(-2.56680548545510e+00dB,-1.13270231108613e+02°)
1.21828809403381e-01	(-2.56258594689242e+00dB,-1.13282204564466e+02°)
1.21898959892485e-01	(-2.55836716691436e+00dB,-1.13294182761474e+02°)
1.21969150775082e-01	(-2.55414914612162e+00dB,-1.13306165699420e+02°)
1.22039382074430e-01	(-2.54993188511507e+00dB,-1.13318153378084e+02°)
1.22109653813803e-01	(-2.54571538449582e+00dB,-1.13330145797245e+02°)
1.22179966016485e-01	(-2.54149964486517e+00dB,-1.13342142956677e+02°)
